index,mid,display_name
0,/m/09x0r,Konuşma
1,/m/0ytgt,Çocuk konuşma evlat konuşan
2,/m/01h8n0,Konuşma
3,/m/02qldy,"Anlatım, monolog"
4,/m/0261r1,Gevezelik
5,/m/0brhx,Konuşma sentezleyici
6,/m/07p6fty,Bağırmak
7,/m/07q4ntr,Feryat
8,/m/07rwj3x,Bağırtı
9,/m/07sr1lc,Yell'in
10,/t/dd00135,Çocuklar bağırarak
11,/m/03qc9zr,Bağıran
12,/m/02rtxlg,Fısıldayan
13,/m/01j3sz,Kahkaha
14,/t/dd00001,Bebek kahkaha
15,/m/07r660_,Kıkırdama
16,/m/07s04w4,Kişneme
17,/m/07sq110,Göbek kahkaha
18,/m/07rgt08,"Chuckle, kıkırdama"
19,/m/0463cq4,"Ağlayan, hıçkırarak"
20,/t/dd00002,"Bebek ağlama, bebek ağlama"
21,/m/07qz6j3,Sızlanma
22,/m/07qw_06,"Wail, inilti"
23,/m/07plz5l,İç çekmek
24,/m/015lz1,Şarkı söyleme
25,/m/0l14jd,Koro
26,/m/01swy6,Yodeling
27,/m/02bk07,İlahi
28,/m/01c194,Mantra
29,/t/dd00005,Çocuk şarkı
30,/t/dd00006,Sentetik şarkı
31,/m/06bxc,Rapping
32,/m/02fxyj,Uğultu
33,/m/07s2xch,İnilti
34,/m/07r4k75,Homurtu
35,/m/01w250,Islıklamak
36,/m/0lyf6,Nefes
37,/m/07mzm6,Hırıltı
38,/m/01d3sd,Horlama
39,/m/07s0dtb,Nefesi kesilmek
40,/m/07pyy8b,Solumak
41,/m/07q0yl5,Homurdanma
42,/m/01b_21,Öksürük
43,/m/0dl9sf8,Boğaz temizleme
44,/m/01hsr_,Sneeze
45,/m/07ppn3j,Koklamak
46,/m/06h7j,Çalıştırmak
47,/m/07qv_x_,Karıştır
48,/m/07pbtc8,Walk ayak sesleri
49,/m/03cczk,"Çiğneme, çiğneme"
50,/m/07pdhp0,Isırma
51,/m/0939n_,Gargara
52,/m/01g90h,Mide gümbürtü
53,/m/03q5_w,"Geğirme, geğirme"
54,/m/02p3nc,Hıçkırık
55,/m/02_nn,Osuruk
56,/m/0k65p,Eller
57,/m/025_jnm,Parmak yaslama
58,/m/0l15bq,Zırıltı
59,/m/01jg02,"Kalp sesleri, kalp atışı"
60,/m/01jg1z,Kalp üfürümü
61,/m/053hz1,Tezahürat
62,/m/028ght,Alkış
63,/m/07rkbfh,Gevezelik
64,/m/03qtwd,Kalabalık
65,/m/07qfr4h,"Velvele, konuşma gürültü, konuşma gevezelik"
66,/t/dd00013,Çocuk oyun
67,/m/0jbk,Hayvan
68,/m/068hy,Evcil hayvanlar
69,/m/0bt9lr,Köpek
70,/m/05tny_,Bağırmak
71,/m/07r_k2n,Viyaklama
