index,mid,display_name
0,/m/09x0r,Konuþma
1,/m/0ytgt,Çocuk konuþma evlat konuþan
2,/m/01h8n0,Konuþma
3,/m/02qldy,"Anlatým, monolog"
4,/m/0261r1,Gevezelik
5,/m/0brhx,Konuþma sentezleyici
6,/m/07p6fty,Baðýrmak
7,/m/07q4ntr,Feryat
8,/m/07rwj3x,Baðýrtý
9,/m/07sr1lc,Yell'in
10,/t/dd00135,Çocuklar baðýrarak
11,/m/03qc9zr,Baðýran
12,/m/02rtxlg,Fýsýldayan
13,/m/01j3sz,Kahkaha
14,/t/dd00001,Bebek kahkaha
15,/m/07r660_,Kýkýrdama
16,/m/07s04w4,Kiþneme
17,/m/07sq110,Göbek kahkaha
18,/m/07rgt08,"Chuckle, kýkýrdama"
19,/m/0463cq4,"Aðlayan, hýçkýrarak"
20,/t/dd00002,"Bebek aðlama, bebek aðlama"
21,/m/07qz6j3,Sýzlanma
22,/m/07qw_06,"Wail, inilti"
23,/m/07plz5l,Ýç çekmek
24,/m/015lz1,Þarký söyleme
25,/m/0l14jd,Koro
26,/m/01swy6,Yodeling
27,/m/02bk07,Ýlahi
28,/m/01c194,Mantra
29,/t/dd00005,Çocuk þarký
30,/t/dd00006,Sentetik þarký
31,/m/06bxc,Rapping
32,/m/02fxyj,Uðultu
33,/m/07s2xch,Ýnilti
34,/m/07r4k75,Homurtu
35,/m/01w250,Islýklamak
36,/m/0lyf6,Nefes
37,/m/07mzm6,Hýrýltý
38,/m/01d3sd,Horlama
39,/m/07s0dtb,Nefesi kesilmek
40,/m/07pyy8b,Solumak
41,/m/07q0yl5,Homurdanma
42,/m/01b_21,Öksürük
43,/m/0dl9sf8,Boðaz temizleme
44,/m/01hsr_,Sneeze
45,/m/07ppn3j,Koklamak
46,/m/06h7j,Çalýþtýrmak
47,/m/07qv_x_,Karýþtýr
48,/m/07pbtc8,Walk ayak sesleri
49,/m/03cczk,"Çiðneme, çiðneme"
50,/m/07pdhp0,Isýrma
51,/m/0939n_,Gargara
52,/m/01g90h,Mide gümbürtü
53,/m/03q5_w,"Geðirme, geðirme"
54,/m/02p3nc,Hýçkýrýk
55,/m/02_nn,Osuruk
56,/m/0k65p,Eller
57,/m/025_jnm,Parmak yaslama
58,/m/0l15bq,Zýrýltý
59,/m/01jg02,"Kalp sesleri, kalp atýþý"
60,/m/01jg1z,Kalp üfürümü
61,/m/053hz1,Tezahürat
62,/m/028ght,Alkýþ
63,/m/07rkbfh,Gevezelik
64,/m/03qtwd,Kalabalýk
65,/m/07qfr4h,"Velvele, konuþma gürültü, konuþma gevezelik"
66,/t/dd00013,Çocuk oyun
67,/m/0jbk,Hayvan
68,/m/068hy,Evcil hayvanlar
69,/m/0bt9lr,Köpek
70,/m/05tny_,Baðýrmak
71,/m/07r_k2n,Viyaklama
72,/m/07qf0zm,Uluma
73,/m/07rc7d9,Hav hav
74,/m/0ghcn6,Hýrýltý
75,/t/dd00136,Whimper (köpek)
76,/m/01yrx,Kedi
77,/m/02yds9,Mýrlamak
78,/m/07qrkrw,Miyav
79,/m/07rjwbb,Týslama
80,/m/07r81j2,Azgýn kedi sesi
81,/m/0ch8v,"Hayvancýlýk, çiftlik hayvanlarý, çalýþtýrýlan hayvanlar"
82,/m/03k3r,At
83,/m/07rv9rh,Klip-clop
84,/m/07q5rw0,"Neigh, kisner"
85,/m/01xq0k1,"Sýðýr, sýðýrlar"
86,/m/07rpkh9,Böðürme
87,/m/0239kh,Cowbell
88,/m/068zj,Domuz
89,/t/dd00018,Oink
90,/m/03fwl,Keçi
91,/m/07q0h5t,Melemek
92,/m/07bgp,Koyun
93,/m/025rv6n,Tavuk
94,/m/09b5t,"Tavuk, horoz"
95,/m/07st89h,Gýdaklama
96,/m/07qn5dc,", Öten horoz-a-doodle-doo"
97,/m/01rd7k,Türkiye
98,/m/07svc2k,Silip süpürmek
99,/m/09ddx,Ördek
100,/m/07qdb04,Vak
101,/m/0dbvp,Kaz
102,/m/07qwf61,Korna sesi
103,/m/01280g,Yabani hayvanlar
104,/m/0cdnk,"Gürleyen kediler (aslanlar, kaplanlar)"
105,/m/04cvmfc,Kükreme
106,/m/015p6,Kuþ
107,/m/020bb7,"Kuþ seslendirme, kuþ çaðrý, kuþ þarký"
108,/m/07pggtn,"Cik, cik"
109,/m/07sx8x_,Þikâyet
110,/m/0h0rv,"Güvercin, kumru"
111,/m/07r_25d,Mýrýldanmak
112,/m/04s8yn,Karga
113,/m/07r5c2p,Gak
114,/m/09d5_,Baykuþ
115,/m/07r_80w,Yuh
116,/m/05_wcq,"Kuþ uçuþu, çýrparak kanatlarý"
117,/m/01z5f,"Canidae, köpekler, kurtlar"
118,/m/06hps,"Kemirgenler, sýçan, fare"
119,/m/04rmv,Fare
120,/m/07r4gkf,Pýtýrtý
121,/m/03vt0,Böcek
122,/m/09xqv,Kriket
123,/m/09f96,Sivrisinek
124,/m/0h2mp,"Sinek, karasinek"
125,/m/07pjwq1,Výzýltý
126,/m/01h3n,"Arý, arý vb"
127,/m/09ld4,Kurbaða
128,/m/07st88b,Gaklamak
129,/m/078jl,Yýlan
130,/m/07qn4z3,Çýngýrak
131,/m/032n05,Balina þarkýsý
132,/m/04rlf,Müzik
133,/m/04szw,Müzik aleti
134,/m/0fx80y,Mýzraplý yaylý çalgý
135,/m/0342h,Gitar
136,/m/02sgy,Elektro gitar
137,/m/018vs,Bas gitar
138,/m/042v_gx,Akustik gitar
139,/m/06w87,"Çelik gitar, slayt gitar"
140,/m/01glhc,Dokunulduðunda (gitar tekniði)
141,/m/07s0s5r,Kötü çalmak
142,/m/018j2,Banço
143,/m/0jtg0,Sitar
144,/m/04rzd,Mandolin
145,/m/01bns_,Kanuna benzer bir çalgý
146,/m/07xzm,Havai kitarasý
147,/m/05148p4,Klavye (müzikal)
148,/m/05r5c,Piyano
149,/m/01s0ps,Elektrikli Piano
150,/m/013y1f,Organ
151,/m/03xq_f,Elektronik organý
152,/m/03gvt,Hammond org
153,/m/0l14qv,Synthesizer
154,/m/01v1d8,Örnekleyici
155,/m/03q5t,Harpsikord
156,/m/0l14md,Vurmalý
157,/m/02hnl,Bateri seti
158,/m/0cfdd,Davul makinesi
159,/m/026t6,Davul
160,/m/06rvn,Trampet
161,/m/03t3fj,Rimshot
162,/m/02k_mr,Davul sesi
163,/m/0bm02,Bas davul
164,/m/011k_j,Timpani
165,/m/01p970,Tabla
166,/m/01qbl,Zil
167,/m/03qtq,Hi-þapka
168,/m/01sm1g,Kütük
169,/m/07brj,Tef
170,/m/05r5wn,Hýrýltý (alet)
171,/m/0xzly,Maraca
172,/m/0mbct,Gong
173,/m/016622,Borulu çan
174,/m/0j45pbj,Mallet perküsyon
